tipo;codigo;nome;unid;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
MATERIAL;43471;FERRAMENTAS - FAMILIA CARPINTEIRO DE FORMAS - MENSALISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);MES;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31;82,31
MATERIAL;43460;FERRAMENTAS - FAMILIA ELETRICISTA - HORISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);H;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86
MATERIAL;43472;FERRAMENTAS - FAMILIA ELETRICISTA - MENSALISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);MES;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73;161,73
MATERIAL;43461;FERRAMENTAS - FAMILIA ENCANADOR - HORISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);H;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31
MATERIAL;43473;FERRAMENTAS - FAMILIA ENCANADOR - MENSALISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);MES;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01
MATERIAL;43463;FERRAMENTAS - FAMILIA ENCARREGADO GERAL - HORISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);H;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08
MATERIAL;43475;FERRAMENTAS - FAMILIA ENCARREGADO GERAL - MENSALISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);MES;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46
MATERIAL;43462;FERRAMENTAS - FAMILIA ENGENHEIRO CIVIL - HORISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);H;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01
MATERIAL;43474;FERRAMENTAS - FAMILIA ENGENHEIRO CIVIL - MENSALISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);MES;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35;2,35
MATERIAL;43464;FERRAMENTAS - FAMILIA OPERADOR ESCAVADEIRA - HORISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);H;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01
MATERIAL;43476;FERRAMENTAS - FAMILIA OPERADOR ESCAVADEIRA - MENSALISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);MES;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01
MATERIAL;43465;FERRAMENTAS - FAMILIA PEDREIRO - HORISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);H;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,78
MATERIAL;43477;FERRAMENTAS - FAMILIA PEDREIRO - MENSALISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);MES;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87;147,87
MATERIAL;43466;FERRAMENTAS - FAMILIA PINTOR - HORISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);H;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05
MATERIAL;43478;FERRAMENTAS - FAMILIA PINTOR - MENSALISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);MES;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36;387,36
MATERIAL;43467;FERRAMENTAS - FAMILIA SERVENTE - HORISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);H;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61;0,61
MATERIAL;43479;FERRAMENTAS - FAMILIA SERVENTE - MENSALISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);MES;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77;114,77
MATERIAL;43468;FERRAMENTAS - FAMILIA SOLDADOR - HORISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);H;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21;1,21
MATERIAL;43480;FERRAMENTAS - FAMILIA SOLDADOR - MENSALISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);MES;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92;228,92
MATERIAL;43469;FERRAMENTAS - FAMILIA TOPOGRAFO - HORISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);H;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05
MATERIAL;43481;FERRAMENTAS - FAMILIA TOPOGRAFO - MENSALISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA);MES;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89;9,89
MATERIAL;3119;"FERROLHO COM FECHO / TRINCO REDONDO, EM ACO GALVANIZADO / ZINCADO, DE SOBREPOR, COM COMPRIMENTO DE 2"" E ESPESSURA MINIMA DA CHAPA DE 0,90 MM, PARA PORTAS E JANELAS";UN;2,84;2,65;2,77;2,64;2,80;2,86;2,63;2,58;3,02;2,58;2,76;3,03;3,54;2,97;2,78;2,97;2,77;2,58;2,90;2,51;3,18;2,38;2,82;3,04;3,04;2,41;2,78
MATERIAL;3122;"FERROLHO COM FECHO / TRINCO REDONDO, EM ACO GALVANIZADO / ZINCADO, DE SOBREPOR, COM COMPRIMENTO DE 3"" A 4"" E ESPESSURA MINIMA DA CHAPA DE 0,90 MM";UN;5,79;5,39;5,65;5,37;5,69;5,82;5,36;5,25;6,14;5,25;5,63;6,17;7,21;6,05;5,66;6,05;5,64;5,26;5,90;5,11;6,48;4,85;5,75;6,19;6,19;4,91;5,66
MATERIAL;3121;"FERROLHO COM FECHO / TRINCO REDONDO, EM ACO GALVANIZADO / ZINCADO, DE SOBREPOR, COM COMPRIMENTO DE 5"" E ESPESSURA MINIMA DA CHAPA DE 0,90 MM";UN;6,57;6,11;6,40;6,09;6,45;6,60;6,08;5,95;6,96;5,95;6,38;6,99;8,17;6,86;6,41;6,86;6,39;5,96;6,69;5,79;7,35;5,50;6,52;7,02;7,02;5,57;6,41
MATERIAL;3120;"FERROLHO COM FECHO / TRINCO REDONDO, EM ACO GALVANIZADO / ZINCADO, DE SOBREPOR, COM COMPRIMENTO DE 6"" E ESPESSURA MINIMA DA CHAPA DE 1,50 MM";UN;12,45;11,58;12,13;11,55;12,23;12,51;11,52;11,28;13,19;11,29;12,10;13,26;15,49;13,00;12,16;13,00;12,12;11,31;12,68;10,98;13,92;10,42;12,35;13,30;13,31;10,56;12,16
MATERIAL;11455;"FERROLHO COM FECHO / TRINCO REDONDO, EM ACO GALVANIZADO / ZINCADO, DE SOBREPOR, COM COMPRIMENTO DE 8"" E ESPESSURA MINIMA DA CHAPA DE 1,50 MM";UN;18,01;16,75;17,55;16,71;17,70;18,09;16,67;16,31;19,09;16,33;17,50;19,18;22,40;18,80;17,59;18,80;17,54;16,36;18,34;15,88;20,14;15,07;17,87;19,24;19,25;15,27;17,59
MATERIAL;11456;"FERROLHO COM FECHO /TRINCO REDONDO, EM ACO GALVANIZADO / ZINCADO, DE SOBREPOR, COM COMPRIMENTO DE 10"" A 12"" E ESPESSURA MINIMA DA CHAPA DE 1,50 MM";UN;21,52;20,02;20,98;19,97;21,15;21,62;19,92;19,50;22,81;19,52;20,92;22,92;26,78;22,47;21,02;22,47;20,96;19,55;21,92;18,98;24,08;18,02;21,36;23,00;23,02;18,26;21,02
MATERIAL;3107;"FERROLHO COM FECHO CHATO E PORTA CADEADO, EM ACO GALVANIZADO / ZINCADO, DE SOBREPOR, COM COMPRIMENTO DE 3"" A 4"", CHAPA COM ESPESSURA MINIMA DE 0,90 MM E LARGURA MINIMA DE 3,20 CM (FECHO SIMPLES / LEVE) (INCLUI PARAFUSOS)";UN;9,08;8,44;8,85;8,42;8,92;9,12;8,40;8,22;9,62;8,23;8,82;9,67;11,30;9,48;8,87;9,48;8,84;8,25;9,25;8,00;10,15;7,60;9,01;9,70;9,71;7,70;8,87
MATERIAL;43583;"FERROLHO COM FECHO CHATO E PORTA CADEADO, EM ACO GALVANIZADO / ZINCADO, DE SOBREPOR, COM COMPRIMENTO DE 3"" A 4"", CHAPA COM ESPESSURA MINIMA DE 1,70 MM E LARGURA MINIMA DE 5,00 CM (FECHO REFORCADO)";UN;10,24;9,52;9,98;9,50;10,06;10,29;9,48;9,28;10,85;9,29;9,95;10,91;12,74;10,69;10,00;10,69;9,97;9,30;10,43;9,03;11,45;8,57;10,16;10,94;10,95;8,69;10,00
MATERIAL;43586;"FERROLHO COM FECHO CHATO E PORTA CADEADO, EM ACO GALVANIZADO / ZINCADO, DE SOBREPOR, COM COMPRIMENTO DE 5"", CHAPA COM ESPESSURA MINIMA DE 0,90 MM E LARGURA MINIMA DE 3,20 CM (FECHO SIMPLES)";UN;10,49;9,76;10,23;9,73;10,31;10,54;9,71;9,51;11,12;9,52;10,20;11,18;13,05;10,96;10,25;10,96;10,22;9,53;10,69;9,25;11,74;8,78;10,41;11,21;11,22;8,90;10,25
MATERIAL;11461;"FERROLHO COM FECHO CHATO E PORTA CADEADO, EM ACO GALVANIZADO / ZINCADO, DE SOBREPOR, COM COMPRIMENTO DE 5"", CHAPA COM ESPESSURA MINIMA DE 1,70 MM E LARGURA MINIMA DE 5,00 CM (FECHO REFORCADO)";UN;11,43;10,64;11,15;10,61;11,24;11,49;10,58;10,36;12,12;10,37;11,12;12,18;14,23;11,94;11,17;11,94;11,14;10,39;11,65;10,08;12,79;9,57;11,35;12,22;12,23;9,70;11,17
MATERIAL;43587;"FERROLHO COM FECHO CHATO E PORTA CADEADO, EM ACO GALVANIZADO / ZINCADO, DE SOBREPOR, COM COMPRIMENTO DE 6"", CHAPA COM ESPESSURA MINIMA DE 0,90 MM E LARGURA MINIMA DE 3,80 CM (FECHO SIMPLES)";UN;13,19;12,27;12,86;12,24;12,97;13,25;12,21;11,95;13,99;11,97;12,82;14,05;16,42;13,78;12,89;13,78;12,85;11,98;13,44;11,63;14,76;11,04;13,10;14,10;14,11;11,19;12,89
MATERIAL;3106;"FERROLHO COM FECHO CHATO E PORTA CADEADO, EM ACO GALVANIZADO / ZINCADO, DE SOBREPOR, COM COMPRIMENTO DE 6"", CHAPA COM ESPESSURA MINIMA DE 1,70 MM E LARGURA /MINIMA DE 5,00 CM (FECHO REFORCADO) (INCLUI PARAFUSOS)";UN;16,74;15,57;16,32;15,53;16,45;16,82;15,49;15,17;17,74;15,18;16,27;17,83;20,83;17,48;16,35;17,48;16,30;15,20;17,05;14,76;18,73;14,01;16,61;17,88;17,90;14,20;16,35
MATERIAL;44539;FERTILIZANTE NPK -  10:10:10;KG;;3,34;;;3,03;4,72;3,54;2,70;3,02;1,80;3,06;3,35;3,54;;;;;2,99;3,64;;3,75;;2,64;3,06;3,15;2,97;4,03
MATERIAL;3123;FERTILIZANTE NPK - 4: 14: 8;KG;;3,12;;;2,83;4,40;3,30;2,52;2,82;1,68;2,86;3,13;3,30;;;;;2,79;3,40;;3,50;;2,46;2,86;2,94;2,77;3,76
MATERIAL;38125;FERTILIZANTE ORGANICO COMPOSTO, CLASSE A;KG;2,05;0,90;;;1,30;2,48;1,28;1,50;2,10;2,22;1,37;2,24;1,14;1,85;1,14;1,09;;1,37;1,37;1,71;2,14;1,23;1,40;1,23;;1,71;1,88
MATERIAL;39014;FIBRA DE ACO PARA REFORCO DO CONCRETO, SOLTA, TIPO A-I, FATOR DE FORMA *50* L / D, COMPRIMENTO DE *30* MM E RESISTENCIA A TRACAO DO ACO MAIOR 1000 MPA;KG;10,94;;;16,98;10,19;;8,15;;9,32;;8,06;8,69;;12,48;;12,38;;10,68;13,26;;12,38;;7,70;8,54;;9,36;
MATERIAL;39365;FILTRO ANAEROBIO, EM POLIETILENO DE ALTA DENSIDADE (PEAD), CAPACIDADE *1100* LITROS (NBR 13969);UN;1.833,23;2.049,78;1.989,10;1.809,64;1.851,15;2.100,81;2.187,99;1.974,57;1.757,97;2.101,24;2.103,17;2.011,19;1.970,24;2.208,45;2.015,48;1.800,63;2.298,07;2.156,56;1.886,83;1.927,57;2.355,54;2.264,20;1.951,32;1.792,49;2.030,49;1.942,15;2.323,63
MATERIAL;39366;FILTRO ANAEROBIO, EM POLIETILENO DE ALTA DENSIDADE (PEAD), CAPACIDADE *2800* LITROS (NBR 13969);UN;2.781,30;3.109,86;3.017,80;2.745,52;2.808,50;3.187,28;3.319,55;2.995,74;2.667,12;3.187,93;3.190,86;3.051,30;2.989,17;3.350,58;3.057,81;2.731,86;3.486,55;3.271,86;2.862,63;2.924,44;3.573,73;3.435,16;2.960,48;2.719,50;3.080,58;2.946,56;3.525,33
MATERIAL;39367;FILTRO ANAEROBIO, EM POLIETILENO DE ALTA DENSIDADE (PEAD), CAPACIDADE *5000* LITROS (NBR 13969);UN;4.765,58;5.328,53;5.170,80;4.704,27;4.812,18;5.461,19;5.687,82;5.133,00;4.569,94;5.462,30;5.467,32;5.228,21;5.121,75;5.740,99;5.239,35;4.680,86;5.973,98;5.606,11;4.904,93;5.010,83;6.123,35;5.885,91;5.072,58;4.659,68;5.278,37;5.048,73;6.040,42
MATERIAL;45263;FILTRO QUIMICO PARA RESPIRADOR SEMI FACIAL, PROTECAO CONTRA VAPORES ORGANICOS E GASES ACIDOS;UN;18,04;17,42;21,47;22,40;18,48;19,45;17,16;17,67;15,24;17,05;17,05;19,20;21,78;27,07;23,02;20,91;23,49;19,79;22,40;17,36;19,29;23,07;21,03;20,18;17,42;18,98;21,03
MATERIAL;37394;FINCAPINO CURTO CALIBRE 22, CARGA MEDIA POTENCIA 5 (PARA FERRAMENTA DE ACAO DIRETA) COR VERMELHA;CENTO;;;;;66,35;;;;;;93,28;;;;;;;;74,62;;;;;;;47,25;
MATERIAL;14146;FINCAPINO LONGO CALIBRE 22, CARGA FORTE POTENCIA 7 (PARA FERRAMENTA DE ACAO DIRETA), COR AMARELA;CENTO;;;;;106,70;;;;;;150,00;;;;;;;;120,00;;;;;;;75,99;
MATERIAL;938;FIO DE COBRE, SOLIDO, CLASSE 1, ISOLACAO EM PVC/A, ANTICHAMA BWF-B, 450/750V, SECAO NOMINAL 1,5 MM2;M;1,88;1,93;1,56;1,89;1,62;1,55;2,01;1,70;1,70;1,82;1,56;1,63;1,83;1,76;1,83;1,62;1,74;1,63;1,62;1,79;1,86;1,72;1,59;1,73;1,66;1,64;1,68
MATERIAL;937;FIO DE COBRE, SOLIDO, CLASSE 1, ISOLACAO EM PVC/A, ANTICHAMA BWF-B, 450/750V, SECAO NOMINAL 10 MM2;M;10,97;11,24;9,10;11,04;9,46;9,03;11,75;9,93;9,93;10,63;9,08;9,49;10,65;10,29;10,68;9,46;10,17;9,54;9,44;10,44;10,85;10,05;9,29;10,07;9,68;9,59;9,80
MATERIAL;939;FIO DE COBRE, SOLIDO, CLASSE 1, ISOLACAO EM PVC/A, ANTICHAMA BWF-B, 450/750V, SECAO NOMINAL 2,5 MM2;M;3,04;3,12;2,52;3,06;2,62;2,50;3,26;2,75;2,75;2,95;2,52;2,63;2,96;2,85;2,96;2,62;2,82;2,65;2,62;2,89;3,01;2,79;2,58;2,79;2,69;2,66;2,72
MATERIAL;944;FIO DE COBRE, SOLIDO, CLASSE 1, ISOLACAO EM PVC/A, ANTICHAMA BWF-B, 450/750V, SECAO NOMINAL 4 MM2;M;4,81;4,93;3,99;4,84;4,15;3,96;5,15;4,35;4,35;4,66;3,98;4,16;4,67;4,51;4,68;4,15;4,46;4,18;4,14;4,57;4,76;4,40;4,07;4,41;4,24;4,20;4,30
MATERIAL;940;FIO DE COBRE, SOLIDO, CLASSE 1, ISOLACAO EM PVC/A, ANTICHAMA BWF-B, 450/750V, SECAO NOMINAL 6 MM2;M;6,94;7,11;5,76;6,99;5,99;5,71;7,43;6,28;6,28;6,73;5,74;6,00;6,74;6,51;6,76;5,99;6,43;6,04;5,97;6,60;6,87;6,36;5,88;6,37;6,13;6,07;6,20
MATERIAL;44397;FITA / CINTA AUTOADESIVA ELASTOMERICA PARA VEDACAO, L= 50 MM, E = 3 MM;M;3,78;2,96;2,59;1,94;3,64;4,00;4,76;4,46;3,90;2,36;4,13;3,22;2,34;3,56;3,05;3,62;3,79;2,95;4,55;2,22;2,65;2,57;3,04;2,81;2,28;4,18;4,32
MATERIAL;406;FITA ACO INOX PARA CINTAR POSTE, L = 19 MM, E = 0,5 MM (ROLO DE 30M);UN;100,82;88,24;85,62;103,50;76,52;73,73;87,93;103,06;79,44;93,41;93,75;86,17;102,68;99,22;98,24;94,75;77,48;103,37;95,21;79,21;101,68;98,41;103,06;77,11;82,69;79,24;92,17
MATERIAL;42529;FITA ADESIVA ALUMINIZADA, PARA INSTALACAO DE MANTAS DE SUBCOBERTURA, L = *5* CM;M;;;;0,95;1,27;;1,39;0,93;;;1,45;;;1,61;;;1,59;0,94;;;1,37;0,89;1,05;;;1,35;
MATERIAL;39634;FITA ADESIVA ANTICORROSIVA DE PVC FLEXIVEL, COR PRETA, PARA PROTECAO TUBULACAO, 50 MM X 30 M (L X C), E= *0,25* MM;M;7,79;5,84;3,83;8,26;6,43;7,69;8,51;9,25;6,04;9,55;7,77;9,74;7,69;6,82;3,95;6,72;8,06;9,74;6,86;6,11;6,49;5,57;9,55;9,55;6,82;5,06;9,02
MATERIAL;39701;FITA ADESIVA ASFALTICA ALUMINIZADA MULTIUSO, L = 10 CM, ROLO DE 10 M;UN;;123,71;;151,58;115,73;;89,41;114,49;86,75;;91,42;;97,92;112,68;104,50;105,39;169,92;112,46;110,47;;170,53;;114,18;;133,11;101,02;
MATERIAL;12815;FITA CREPE ROLO DE *25* MM X 50 M;UN;10,44;8,72;7,62;8,91;8,97;8,12;11,28;10,13;9,96;11,23;12,68;14,95;12,61;9,52;8,18;9,39;10,48;9,65;9,53;9,20;11,00;8,18;11,23;10,77;9,59;11,89;11,82
MATERIAL;39431;FITA DE PAPEL MICROPERFURADO, 50 X 150 MM, PARA TRATAMENTO DE JUNTAS DE CHAPA DE GESSO PARA DRYWALL;M;0,42;0,39;0,38;0,32;0,30;0,33;0,29;0,31;0,30;0,39;0,33;0,33;0,41;0,39;0,32;0,28;0,35;0,32;0,32;0,38;0,44;0,43;0,37;0,35;0,35;0,31;0,32
MATERIAL;39432;FITA DE PAPEL REFORCADA COM LAMINA DE METAL PARA REFORCO DE CANTOS DE CHAPA DE GESSO PARA DRYWALL;M;3,75;3,46;3,40;2,87;2,71;2,94;2,62;2,77;2,70;3,46;2,91;2,97;3,65;3,47;2,87;2,55;3,16;2,84;2,84;3,38;3,95;3,83;3,27;3,08;3,15;2,80;2,90
MATERIAL;20111;FITA ISOLANTE ADESIVA ANTICHAMA, USO ATE 750 V, EM ROLO DE 19 MM X 20 M;UN;13,00;16,61;16,85;30,63;10,96;10,00;11,90;11,45;9,00;12,00;9,01;12,24;13,51;19,36;8,50;18,28;9,77;13,00;27,99;9,50;10,24;13,50;8,79;9,67;12,00;20,86;10,00
MATERIAL;21127;FITA ISOLANTE ADESIVA ANTICHAMA, USO ATE 750 V, EM ROLO DE 19 MM X 5 M;UN;4,91;6,28;6,37;11,58;4,14;3,78;4,50;4,33;3,40;4,53;3,40;4,62;5,10;7,32;3,21;6,91;3,69;4,91;10,58;3,59;3,87;5,10;3,32;3,65;4,53;7,88;3,78
MATERIAL;404;FITA ISOLANTE DE BORRACHA AUTOFUSAO, USO ATE 69 KV (ALTA TENSAO), LARGURA DE 19 MM;M;1,77;2,26;2,29;4,17;1,49;1,36;1,62;1,56;1,22;1,63;1,22;1,66;1,84;2,64;1,15;2,49;1,33;1,77;3,81;1,29;1,39;1,84;1,19;1,31;1,63;2,84;1,36
MATERIAL;14151;FITA METALICA GRAVADA, L = 17 MM, ROLO DE 25 M, CARGA RECOMENDADA = *120* KGF;UN;;;;;76,69;;;;;;107,81;;;;;;;;86,25;;;;;;;54,61;
MATERIAL;14153;FITA METALICA PERFURADA, L = *18* MM, ROLO DE 30 M, CARGA RECOMENDADA = *30* KGF;UN;;;;;86,69;;;;;;121,87;;;;;;;;97,50;;;;;;;61,74;
MATERIAL;14152;FITA METALICA PERFURADA, L = 17 MM, ROLO DE 30 M, CARGA RECOMENDADA = *19* KGF;UN;;;;;66,55;;;;;;93,56;;;;;;;;74,85;;;;;;;47,39;
MATERIAL;14154;FITA METALICA PERFURADA, L = 25 MM, ROLO DE 30 M, CARGA RECOMENDADA = *222,5* KGF;UN;;;;;232,93;;;;;;327,46;;;;;;;;261,97;;;;;;;165,89;
MATERIAL;3143;FITA VEDA ROSCA, EM PTFE, ROLO  DE 18 MM X 25 M (L X C);UN;9,10;6,82;4,48;9,64;7,50;8,98;9,94;10,80;7,05;11,14;9,07;11,37;8,98;7,96;4,61;7,84;9,41;11,37;8,00;7,14;7,57;6,50;11,14;11,14;7,96;5,91;10,53
MATERIAL;3146;FITA VEDA ROSCA, EM PTFE, ROLO DE 18 MM X 10 M (L X C);UN;4,00;3,00;1,97;4,24;3,30;3,95;4,37;4,75;3,10;4,90;3,99;5,00;3,95;3,50;2,03;3,45;4,14;5,00;3,52;3,14;3,33;2,86;4,90;4,90;3,50;2,60;4,63
MATERIAL;3148;FITA VEDA ROSCA, EM PTFE, ROLO DE 18 MM X 50 M (L X C);UN;14,75;11,06;7,26;15,63;12,17;14,56;16,11;17,51;11,43;18,07;14,71;18,44;14,56;12,90;7,48;12,72;15,26;18,44;12,98;11,58;12,28;10,54;18,07;18,07;12,90;9,58;17,07
MATERIAL;4310;FIXADOR DE ABA AUTOTRAVANTE PARA TELHA DE FIBROCIMENTO, TIPO CANALETE 90 OU KALHETAO;UN;2,43;3,26;;4,50;3,38;2,23;;3,38;2,70;4,28;4,16;2,34;2,90;3,94;3,94;2,29;3,80;2,14;3,94;3,04;2,77;3,44;3,17;3,15;3,94;3,33;2,86
MATERIAL;4311;FIXADOR DE ABA SIMPLES PARA TELHA DE FIBROCIMENTO, TIPO CANALETA 49 OU KALHETA;UN;1,71;2,30;;3,17;2,38;1,57;;2,38;1,90;3,01;2,93;1,65;2,04;2,77;2,77;1,61;2,68;1,50;2,77;2,14;1,95;2,42;2,23;2,22;2,77;2,34;2,01
MATERIAL;4312;FIXADOR DE ABA SIMPLES PARA TELHA DE FIBROCIMENTO, TIPO CANALETA 90 OU KALHETAO;UN;2,39;3,22;;4,44;3,33;2,19;;3,33;2,66;4,22;4,11;2,31;2,86;3,88;3,88;2,26;3,75;2,11;3,88;2,99;2,73;3,39;3,13;3,11;3,88;3,28;2,82
MATERIAL;13261;FLANELA *30 X 40* CM;UN;5,66;2,99;4,01;4,19;2,34;3,79;2,43;2,92;3,55;3,55;3,48;3,91;4,62;2,58;1,88;3,08;3,84;3,29;3,55;1,89;3,42;3,55;3,29;2,84;2,84;2,03;3,90
MATERIAL;3272;"FLANGE SEXTAVADO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 1 1/2""";UN;51,95;;;64,21;49,67;;;;;;52,84;48,09;42,91;52,84;;;45,34;;;;44,92;;52,37;;;59,03;51,21
MATERIAL;3265;"FLANGE SEXTAVADO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 1 1/4""";UN;41,27;;;51,01;39,47;;;;;;41,98;38,21;34,09;41,98;;;36,02;;;;35,69;;41,61;;;46,90;40,68
MATERIAL;3264;"FLANGE SEXTAVADO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 1""";UN;29,67;;;36,68;28,38;;;;;;30,19;27,47;24,51;30,19;;;25,90;;;;25,66;;29,92;;;33,72;29,25
MATERIAL;3262;"FLANGE SEXTAVADO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 1/2""";UN;18,07;;;22,33;17,27;;;;;;18,38;16,72;14,92;18,38;;;15,77;;;;15,62;;18,21;;;20,53;17,81
MATERIAL;3267;"FLANGE SEXTAVADO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 2 1/2""";UN;96,92;;;119,79;92,68;;;;;;98,60;89,72;80,06;98,60;;;84,59;;;;83,81;;97,71;;;110,13;95,54
MATERIAL;3266;"FLANGE SEXTAVADO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 2""";UN;61,66;;;76,22;58,97;;;;;;62,73;57,08;50,94;62,73;;;53,82;;;;53,32;;62,16;;;70,07;60,78
MATERIAL;3268;"FLANGE SEXTAVADO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 3""";UN;131,04;;;161,97;125,31;;;;;;133,31;121,31;108,24;133,31;;;114,38;;;;113,31;;132,11;;;148,90;129,17
